organism,complete_buscos,single_copy_buscos,fragmented_buscos,missing_buscos
GCF_000237345.1_ASM23734v1_genomic.fna,740,714,1,17
GCF_003054445.1_ASM305444v1_genomic.fna,680,677,10,68
GCF_000003525.1_BD_ER3_V1_genomic.fna,745,743,5,8
GCF_025882075.1_ASM2588207v1_genomic.fna,698,696,10,50
GCF_028828025.1_ASM2882802v1_genomic.fna,740,738,3,15
GCF_000145635.1_Gae_graminis_V2_genomic.fna,744,742,1,13
GCF_028827395.1_ASM2882739v1_genomic.fna,751,747,3,4
GCF_000149305.1_RO3_genomic.fna,712,536,18,28
GCF_000349385.1_UCREL1V03_genomic.fna,728,724,15,15
GCF_036884675.1_Schcoi1_genomic.fna,720,716,4,34
GCF_002847485.1_Aspcam1_genomic.fna,748,745,5,5
GCF_000835475.1_Clad_bant_CBS_173_52_V1_genomic.fna,754,753,2,2
GCF_003184585.1_Aspsac1_genomic.fna,753,752,1,4
GCF_003144115.1_Tilwa1_genomic.fna,663,663,26,69
GCF_028827025.1_ASM2882702v1_genomic.fna,745,742,5,8
GCF_018404265.1_Aspvir_assembly01_genomic.fna,749,748,2,7
GCF_023758075.1_ASM2375807v1_genomic.fna,748,747,1,9
GCF_039999085.1_Rhomi1_genomic.fna,682,681,27,49
GCF_001640025.1_ASM164002v2_genomic.fna,749,747,3,6
GCF_013368755.1_ASM1336875v1_genomic.fna,743,738,4,11
GCF_028828015.1_ASM2882801v1_genomic.fna,748,744,3,7
GCF_033847375.1_Triagg1_genomic.fna,752,750,0,6
GCF_022496945.1_Annmae1_genomic.fna,752,751,2,4
GCF_020744135.1_Fusven1_genomic.fna,748,744,3,7
GCF_000264905.1_Stehi1_genomic.fna,726,720,10,22
GCF_000236905.1_ASM23690v1_genomic.fna,727,701,1,30
GCF_010093885.1_Aplpr1_genomic.fna,752,739,1,5
GCF_000240135.3_ASM24013v3_genomic.fna,745,742,2,11
GCF_000221225.1_CTHT_3.0_genomic.fna,745,744,4,9
GCF_011692745.1_ASM1169274v1_genomic.fna,752,748,1,5
GCF_023758065.1_ASM2375806v1_genomic.fna,753,752,1,4
GCF_010093935.1_Zasce1_genomic.fna,756,753,0,2
GCF_020726525.1_Truan1_genomic.fna,750,747,3,5
GCF_000271625.1_Conpu1_genomic.fna,722,718,13,23
GCF_001720205.1_Cryp_amyl_CBS6039_V3_genomic.fna,711,709,10,37
GCF_000600275.1_Eurhe1_genomic.fna,750,747,1,7
GCF_011745365.1_Crypa2_genomic.fna,746,744,2,10
GCF_025094135.1_Mucmuc1_genomic.fna,719,647,7,32
GCF_000265015.1_Auricularia_subglabra_SS-5_V1.0_genomic.fna,710,694,18,30
GCF_000836335.1_ASM83633v2_genomic.fna,714,712,9,35
GCF_022478755.1_Dalloc1_genomic.fna,752,751,0,6
GCF_028827555.1_ASM2882755v1_genomic.fna,741,737,11,6
GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic.fna,680,679,12,66
GCF_038497785.1_Lipsmi1_genomic.fna,714,710,24,20
GCF_000769745.1_ASM76974v1_genomic.fna,747,743,2,9
GCF_000149585.1_ASM14958v1_genomic.fna,685,684,32,41
GCF_000181695.2_ASM18169v2_genomic.fna,645,644,38,75
GCF_014066315.1_Lelup_v1.1_genomic.fna,746,743,1,11
GCF_000835455.1_Fons_pedr_CBS_271_37_V1_genomic.fna,752,751,3,3
GCF_000280675.1_ASM28067v1_genomic.fna,750,748,3,5
GCF_023757985.1_ASM2375798v1_genomic.fna,414,414,3,341
GCF_044049455.1_Aspluc1_genomic.fna,750,749,0,8
GCF_028826845.1_ASM2882684v1_genomic.fna,737,735,5,16
GCF_000149845.2_SJ5_genomic.fna,700,680,16,42
GCF_028829465.1_ASM2882946v1_genomic.fna,745,743,5,8
GCF_033297405.1_Thiap1_genomic.fna,747,745,0,11
GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0_genomic.fna,755,754,2,1
GCF_002105105.1_Prola1_genomic.fna,717,712,13,28
GCF_001661335.1_Babin1_genomic.fna,728,725,7,23
GCF_000146045.2_R64_genomic.fna,733,716,1,24
GCF_028009165.1_ASM2800916v1_genomic.fna,751,747,2,5
GCF_000523455.1_Cochliobolus_miyabeanus_v1.0_genomic.fna,751,749,0,7
GCF_028858645.1_CocheC4_6_genomic.fna,751,748,0,7
GCF_030867605.1_CPAR01_genomic.fna,744,742,4,10
GCF_001890705.1_Aspsy1_genomic.fna,746,743,5,7
GCF_001720195.1_ASM172019v2_genomic.fna,700,699,15,43
GCF_028827155.1_ASM2882715v1_genomic.fna,737,732,8,13
GCF_020536065.1_ASM2053606v1_genomic.fna,725,722,5,28
GCF_002926055.2_CanHae_1.0_genomic.fna,710,708,14,34
GCF_039654215.1_AGRO-Manis_genomic.fna,743,736,6,9
GCF_014235925.2_CTRU02v2_genomic.fna,748,746,1,9
GCF_000149925.1_ASM14992v1_genomic.fna,651,597,19,88
GCF_001447935.2_debFab1.1_genomic.fna,741,739,6,11
GCF_010015615.1_Cucbe1_genomic.fna,750,747,3,5
GCF_038497915.1_Lipodoor1_genomic.fna,721,715,20,17
GCF_963989305.1_lodBeiA1_genomic.fna,715,703,1,42
GCF_022605165.1_ASM2260516v1_genomic.fna,745,740,2,11
GCF_035927965.1_ASM3592796v1_genomic.fna,753,752,2,3
GCF_036810415.1_ASM3681041v1_genomic.fna,714,714,8,36
GCF_000835755.1_ASM83575v2_genomic.fna,716,715,7,35
GCF_030347475.1_UMN_CgA_1_genomic.fna,747,744,3,8
GCF_011074885.1_ASM1107488v2_genomic.fna,696,690,10,52
GCF_001477535.1_Pneu_jiro_RU7_V2_genomic.fna,676,675,13,69
GCF_016647745.1_Suiplo1_genomic.fna,723,703,9,26
GCF_000836295.1_O_gall_CBS43764_genomic.fna,745,742,6,7
GCF_000225545.1_AOL24927_1.0_genomic.fna,744,743,6,8
GCF_000209485.1_ASM20948v1_genomic.fna,99,91,29,630
GCF_013396195.1_ASM1339619v1_genomic.fna,746,743,5,7
GCF_000226545.1_ASM22654v1_genomic.fna,720,717,17,21
GCF_016647635.1_Suisub1_genomic.fna,719,626,12,27
GCF_000223485.1_Spathaspora_passalidarum_v2.0_genomic.fna,725,723,7,26
GCF_000002945.2_ASM294v3_genomic.fna,724,703,8,26
GCF_001561935.1_ASM156193v1_genomic.fna,752,748,0,6
GCF_002742065.1_CB0940_V2_genomic.fna,755,753,1,2
GCF_014466165.1_ASM1446616v1_genomic.fna,716,706,17,25
GCF_022114955.1_ASM2211495v2_genomic.fna,751,748,0,7
GCF_022343315.1_CAIQ.LM.1_genomic.fna,746,744,5,7
GCF_009193585.1_Aspcae1_genomic.fna,749,745,2,7
GCF_000320565.1_Septoria_musiva_SO2202_v1.0_genomic.fna,755,754,1,2
GCF_028828495.1_ASM2882849v1_genomic.fna,743,740,2,13
GCF_000184105.1_Geom_destructans_V1_genomic.fna,739,738,6,13
GCF_000182925.2_NC12_genomic.fna,747,745,4,7
GCF_003144295.1_Acain1_genomic.fna,711,710,11,36
GCF_030869305.1_CTAM01_genomic.fna,746,744,3,9
GCF_000149645.3_ASM14964v4_genomic.fna,749,748,1,8
GCF_003144195.1_Cersp1_genomic.fna,629,629,44,85
GCF_001664045.1_Hanpo2_genomic.fna,723,722,8,27
GCF_002102565.1_Kocim1_genomic.fna,655,654,18,85
GCF_907166805.1_ALTATR162_genomic.fna,747,703,1,10
GCF_000151355.1_v2.0_genomic.fna,750,742,2,6
GCF_019456465.1_ASM1945646v1_genomic.fna,744,742,4,10
GCF_028827165.1_ASM2882716v1_genomic.fna,720,715,20,18
GCF_001619985.1_Xylona_heveae_TC161_v1.0_genomic.fna,749,747,5,4
GCF_038362585.1_ASM3836258v1_genomic.fna,747,744,5,6
GCF_001329695.1_Rhoba1_1_genomic.fna,600,598,47,111
GCF_000721775.1_Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0_genomic.fna,752,751,4,2
GCF_000585585.1_Capr_coro_CBS_617_96_V1_genomic.fna,754,753,2,2
GCF_036426115.1_ASM3642611v1_genomic.fna,729,729,2,27
GCF_000150975.2_MS_CBS118893_genomic.fna,744,739,3,11
GCF_020509005.1_Cfulv_R5_v5_genomic.fna,754,753,0,4
GCF_022578975.1_Hyptru1_genomic.fna,750,749,1,7
GCF_000264995.1_Punctularia_strigosozonata_v1.0_genomic.fna,717,715,15,26
GCF_016097325.1_ASM1609732v1_genomic.fna,748,745,2,8
GCF_041956535.1_Calth1_genomic.fna,721,665,27,10
GCF_027942845.1_ASM2794284v1_genomic.fna,742,739,5,11
GCF_002926085.2_CanDuoHae_v1.0_genomic.fna,702,699,14,42
GCF_000338995.1_Cocsa1_genomic.fna,753,750,0,5
GCF_023758015.1_ASM2375801v1_genomic.fna,752,751,2,4
GCF_900007245.1_AQF_AC_PRJEB9495_v1_genomic.fna,738,736,0,20
GCF_014133895.1_ASM1413389v1_genomic.fna,741,740,1,16
GCF_026319165.1_ASM2631916v1_genomic.fna,750,748,0,8
GCF_000146465.1_ASM14646v1_genomic.fna,176,172,26,556
GCF_000167675.1_v2.0_genomic.fna,751,749,2,5
GCF_028828465.1_ASM2882846v1_genomic.fna,741,736,7,10
GCF_028828655.1_ASM2882865v1_genomic.fna,739,735,10,9
GCF_001661345.1_Ascru1_genomic.fna,688,679,14,56
GCF_014461135.1_ASM1446113v1_genomic.fna,728,716,5,25
GCF_000184455.2_ASM18445v3_genomic.fna,747,744,5,6
GCF_028826775.1_ASM2882677v1_genomic.fna,737,735,9,12
GCF_000516985.1_PFICI_genomic.fna,751,750,2,5
GCF_020623625.1_UHD_SCDLUD_16_genomic.fna,681,678,9,68
GCF_000835555.1_Rhin_mack_CBS_650_93_V1_genomic.fna,752,750,2,4
GCF_001477545.1_Pneu_cari_B80_V3_genomic.fna,683,681,7,68
GCF_900074925.1_version_1_genomic.fna,752,751,3,3
GCF_028827525.1_ASM2882752v1_genomic.fna,742,740,8,8
GCF_035222375.1_CBS415.72m_1.0_genomic.fna,736,733,7,15
GCF_019915245.1_ASM1991524v1_genomic.fna,753,750,2,3
GCF_000150675.1_ASM15067v2_genomic.fna,696,695,15,47
GCF_002117355.1_PosplRSB12_1_genomic.fna,715,713,16,27
GCF_021365365.1_Ilyrob1_genomic.fna,746,738,0,12
GCF_037950935.1_Myxme1_genomic.fna,722,716,18,18
GCF_013036055.1_ASM1303605v1_genomic.fna,749,747,4,5
GCF_000300595.1_Phanerochaete_carnosa_HHB-10118-Sp_v1.0_genomic.fna,702,696,24,32
GCF_003184925.1_Aspvad1_genomic.fna,746,744,2,10
GCF_022376455.1_Epityp1_genomic.fna,702,554,17,39
GCF_028829775.1_ASM2882977v1_genomic.fna,740,736,7,11
GCF_000968595.1_ASM96859v1_genomic.fna,719,716,25,14
GCF_000320585.1_Heterobasidion_irregulare_v2.0_genomic.fna,727,721,8,23
GCF_000230625.1_Exop_derm_V1_genomic.fna,750,749,4,4
GCF_026210795.1_ASM2621079v1_genomic.fna,719,704,11,28
GCF_028827405.1_ASM2882740v1_genomic.fna,743,739,9,6
GCF_000151645.1_ASM15164v1_genomic.fna,722,712,16,20
GCF_000006445.2_ASM644v2_genomic.fna,743,741,1,14
GCF_029542785.1_ASM2954278v1_genomic.fna,707,705,15,36
GCF_001651985.1_ASM165198v1_genomic.fna,747,744,7,4
GCF_018416015.2_ASM1841601v2_genomic.fna,748,746,3,7
GCF_027946475.1_ASM2794647v1_genomic.fna,746,744,6,6
GCF_028827675.1_ASM2882767v1_genomic.fna,744,742,5,9
GCF_004000055.1_DF_1.0_genomic.fna,735,734,10,13
GCF_003184785.1_Aspjap1_genomic.fna,743,741,6,9
GCF_016861865.1_ApuulaauensisMK2_assembly01_genomic.fna,752,749,1,5
GCF_013390195.1_ASM1339019v1_genomic.fna,747,746,4,7
GCF_028502605.1_ASM2850260v1_genomic.fna,752,749,1,5
GCF_000385595.1_UCRNP2V3_genomic.fna,743,740,8,7
GCF_000836435.1_Fons_mult_CBS_102226_V1_genomic.fna,753,751,2,3
GCF_025331425.1_Radspe1_genomic.fna,731,679,10,17
GCF_002708625.1_Rhimi1_1_genomic.fna,728,680,9,21
GCF_042100115.1_ASM4210011v1_genomic.fna,753,751,0,5
GCF_000300555.1_Agabi_varbur_1_genomic.fna,734,730,3,21
GCF_000143535.2_ASM14353v4_genomic.fna,751,750,4,3
GCF_003013715.1_ASM301371v2_genomic.fna,719,716,6,33
GCF_025024155.1_Mormul1_genomic.fna,718,649,14,26
GCF_000313485.1_ASM31348v1_genomic.fna,747,746,2,9
GCF_035222275.1_CBS112042p_1.0_genomic.fna,735,733,9,14
GCF_003013735.1_Cand_pseudohaemulonii_B12108_genomic.fna,726,724,3,29
GCF_003184755.1_Asppip1_genomic.fna,753,751,0,5
GCF_000814945.1_MAJ_1.0_genomic.fna,745,734,4,9
GCF_030411735.1_Phiatr1_genomic.fna,751,742,2,5
GCF_023278565.1_ASM2327856v1_genomic.fna,746,743,2,10
GCF_000150115.1_ASM15011v1_genomic.fna,735,731,10,13
GCF_010093595.1_Mytre1_genomic.fna,754,751,1,3
GCF_003144205.1_Meimi1_genomic.fna,723,721,6,29
GCF_021821965.1_FI-F-10_v._1_genomic.fna,160,159,30,568
GCF_000760515.2_UGP1.1_genomic.fna,245,237,76,437
GCF_013390185.1_ASM1339018v1_genomic.fna,744,740,4,10
GCF_016861735.1_AchevalieriM1_assembly01_genomic.fna,750,746,0,8
GCF_025433545.1_ASM2543354v1_genomic.fna,749,744,2,7
GCF_021015755.1_Lenedo1_genomic.fna,714,704,18,26
GCF_001773325.1_ASM177332v1_genomic.fna,745,743,2,11
GCF_033458365.1_Neuhi1_genomic.fna,747,745,3,8
GCF_003290485.1_ASM329048v1_genomic.fna,716,714,7,35
GCF_024610245.1_ASM2461024v1_genomic.fna,722,721,2,34
GCF_000149205.2_ASM14920v2_genomic.fna,743,742,7,8
GCF_002954075.1_C._deuterogattii_R265_chr_genomic.fna,712,712,9,37
GCF_001661235.1_Picme2_genomic.fna,688,685,8,62
GCF_003724135.2_ASM372413v2_genomic.fna,698,697,10,50
GCF_000225605.1_CmilitarisCM01_v01_genomic.fna,741,737,7,10
GCF_024043145.1_ASM2404314v1_genomic.fna,750,749,3,5
GCF_000365165.1_Clad_carr_CBS_160_54_V1_genomic.fna,751,750,3,4
GCF_000732125.1_ScApio1.0_genomic.fna,749,741,3,6
GCF_004011695.2_ASM401169v2_genomic.fna,751,748,4,3
GCF_020137385.1_ASM2013738v1_genomic.fna,749,725,3,6
GCF_028974205.1_ASM2897420v1_genomic.fna,743,741,3,12
GCF_024244105.1_nmin_JUm1510_genomic.fna,145,145,39,574
GCF_016767815.1_ASM1676781v1_genomic.fna,748,745,2,8
GCF_000226395.1_PenChr_Nov2007_genomic.fna,746,742,0,12
GCF_014898435.1_ASM1489843v1_genomic.fna,749,748,4,5
GCF_000576695.1_AUH_PRJEB4427_v1_genomic.fna,733,730,6,19
GCF_010094145.1_Didex1_genomic.fna,749,747,2,7
GCF_001720155.1_Tsuc_wing_CBS7118_V1_genomic.fna,705,704,7,46
GCF_020360975.1_ASM2036097v1_genomic.fna,743,737,5,10
GCF_001723175.1_ASM172317v3_genomic.fna,743,741,6,9
GCF_003184745.1_Aspuva1_genomic.fna,747,745,4,7
GCF_036417295.1_ASM3641729v1_genomic.fna,715,714,4,39
GCF_016758755.1_Suidis1_genomic.fna,719,655,9,30
GCF_000359705.1_Setospaeria_trucica_Et28A_v1.0_genomic.fna,739,737,4,15
GCF_002105155.1_Lobtra1_genomic.fna,725,667,6,27
GCF_019650295.1_Ck_assembly01_genomic.fna,756,754,0,2
GCF_025201335.1_Gilper1_genomic.fna,722,663,6,30
GCF_013396075.1_ASM1339607v1_genomic.fna,750,745,3,5
GCF_023758085.1_ASM2375808v1_genomic.fna,752,750,1,5
GCF_000319635.2_ASM31963v2_genomic.fna,747,744,4,7
GCF_019112545.1_Guyne1_genomic.fna,721,713,13,24
GCF_030549165.1_Lasmin1_genomic.fna,747,743,2,9
GCF_016647785.1_Suifus1_genomic.fna,721,505,9,28
GCF_033297395.1_Thiar1_genomic.fna,747,745,0,11
GCF_002775015.1_Cand_auris_B11221_V1_genomic.fna,717,712,4,37
GCF_000281105.1_Coni_apol_CBS100218_V1_genomic.fna,752,751,5,1
GCF_024043155.1_ASM2404315v1_genomic.fna,748,746,3,7
GCF_011800055.1_NFU_CgLc1_1.0_genomic.fna,746,743,3,9
GCF_013426205.1_ASM1342620v1_genomic.fna,745,738,3,10
GCF_900007375.1_ASM90000737v1_genomic.fna,748,746,3,7
GCF_022478715.1_Daldec1_genomic.fna,754,753,0,4
GCF_022695815.1_EurotioJF033F_1_genomic.fna,750,749,1,7
GCF_035048745.1_Mvel_NIH1002.PB.canu.pilon.trimmedMito_genomic.fna,741,656,4,13
GCF_025024165.1_Kicala1_genomic.fna,628,538,44,86
GCF_000149425.1_ASM14942v1_genomic.fna,722,721,7,29
GCF_028827265.1_ASM2882726v1_genomic.fna,742,741,6,10
GCF_008704595.1_ASM870459v1_genomic.fna,693,692,3,62
GCF_002849105.1_Aspste1_genomic.fna,748,744,2,8
GCF_030867565.1_CCOSS01_genomic.fna,746,745,2,10
GCF_044167205.1_ASM4416720v1_genomic.fna,750,748,4,4
GCF_000512565.2_ASM51256v3_genomic.fna,693,692,12,53
GCF_028827825.1_ASM2882782v1_genomic.fna,734,729,9,15
GCF_000260195.1_FO_II5_V1_genomic.fna,749,745,3,6
GCF_000151145.1_ASM15114v1_genomic.fna,745,742,3,10
GCF_000149685.1_ASM14968v1_genomic.fna,697,693,12,49
GCF_041956435.1_Mycthe1_genomic.fna,751,750,1,6
GCF_011745625.1_ASM1174562v2_genomic.fna,753,752,1,4
GCF_023757995.1_ASM2375799v1_genomic.fna,752,751,2,4
GCF_030867785.1_Colac2_genomic.fna,742,739,6,10
GCF_000091025.4_ASM9102v4_genomic.fna,738,735,4,16
GCF_000027005.1_ASM2700v1_genomic.fna,725,724,6,27
GCF_000365145.1_Phia_euro_CBS_101466_V1_genomic.fna,745,744,4,9
GCF_000223465.1_Candida_tenuis_v1.0_genomic.fna,726,725,4,28
GCF_001761485.1_ASM176148v1_genomic.fna,744,743,3,11
GCF_000091225.2_ASM9122v2_genomic.fna,172,169,30,556
GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0_genomic.fna,748,746,6,4
GCF_035222475.1_CBS411.78m_1.0_genomic.fna,734,733,10,14
GCF_003184845.1_Aspibe1_genomic.fna,749,748,1,8
GCF_003184625.1_Aspneo1_genomic.fna,748,745,4,6
GCF_022829205.1_ASM2282920v1_genomic.fna,753,750,1,4
GCF_000488995.1_M_roreri_MCA_2997_v1_genomic.fna,725,718,7,26
GCF_000091045.1_ASM9104v1_genomic.fna,709,706,8,41
GCF_000151425.1_ASM15142v1_genomic.fna,736,733,8,14
GCF_009556855.1_ASM955685v1_genomic.fna,749,746,0,9
GCF_041260175.1_TUD_VanAlb_v1.0_genomic.fna,725,723,10,23
GCF_000835505.1_Exop_xeno_CBS118157_V1_genomic.fna,752,751,4,2
GCF_035928015.1_ASM3592801v1_genomic.fna,756,755,0,2
GCF_000349005.2_Pneumo_murina_B123_V4_genomic.fna,684,684,6,68
GCF_000315645.1_PdigPd1_v1_genomic.fna,749,746,2,7
GCF_028827245.1_ASM2882724v1_genomic.fna,745,744,2,11
GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2_genomic.fna,747,744,5,6
GCF_022264815.1_Fomros1_genomic.fna,739,735,8,11
GCF_000293215.1_Trichosporon_asahii_1_genomic.fna,657,655,31,70
GCF_000149385.1_ASM14938v1_genomic.fna,705,703,10,43
GCF_019202705.1_ASM1920270v1_genomic.fna,729,725,6,23
GCF_010094035.1_Trepe1_genomic.fna,749,744,4,5
GCF_000149555.1_ASM14955v1_genomic.fna,746,743,5,7
GCF_016647625.1_Suisu1_genomic.fna,715,687,14,29
GCF_000235365.1_ASM23536v1_genomic.fna,732,730,5,21
GCF_003851025.1_SCP_1.1_genomic.fna,741,732,4,13
GCF_004337985.1_PpBr36_genomic.fna,747,743,3,8
GCF_030913505.1_Colph1_genomic.fna,744,740,4,10
GCF_000804445.1_MAM_1.0_for_version_1_of_the_Metarhizium_album_genome_genomic.fna,745,742,5,8
GCF_012971845.1_ASM1297184v1_genomic.fna,752,747,4,2
GCF_000151505.1_ASM15150v1_genomic.fna,751,748,3,4
GCF_033439085.1_Chafi1_genomic.fna,747,741,2,9
GCF_004353045.1_ASM435304v1_genomic.fna,746,722,4,8
GCF_000002545.3_ASM254v2_genomic.fna,725,712,2,31
GCF_021365285.1_Talpro1_genomic.fna,744,741,6,8
GCF_002104995.1_Linpe1_genomic.fna,613,438,42,103
GCF_000836275.1_Exop_meso_CBS40295_V1_genomic.fna,753,752,1,4
GCF_029542925.1_ASM2954292v1_genomic.fna,701,700,14,43
GCF_000340215.1_Mycfi2_genomic.fna,754,752,1,3
GCF_001078395.1_Aud_assembly02_genomic.fna,738,736,4,16
GCF_036810445.1_ASM3681044v1_genomic.fna,712,712,4,42
GCF_002072235.1_ASM207223v1_genomic.fna,747,744,3,8
GCF_021052385.1_Filflo1_genomic.fna,647,645,31,80
GCF_009193445.1_Asppset1_genomic.fna,750,743,2,6
GCF_000585515.1_Clad_yegr_CBS_114405_V1_genomic.fna,751,750,3,4
GCF_001672515.1_ASM167251v1_genomic.fna,748,745,0,10
GCF_028829835.1_ASM2882983v1_genomic.fna,717,711,24,17
GCF_038025025.1_Pcit17464_genomic.fna,754,753,2,2
GCF_019434415.1_Coph_MacrARSEF324_H1_v1.0_genomic.fna,738,722,4,16
GCF_025766255.1_Zycmex1_genomic.fna,728,674,6,24
GCF_000271605.1_Fomme1_genomic.fna,719,713,14,25
GCF_028826915.1_ASM2882691v1_genomic.fna,749,743,3,6
GCF_024291825.1_ASM2429182v1_genomic.fna,749,747,3,6
GCF_028827145.1_ASM2882714v1_genomic.fna,740,738,7,11
GCF_019609905.1_ASM1960990v1_genomic.fna,749,746,3,6
GCF_000403515.1_ASM40351v1_genomic.fna,745,743,2,11
GCF_000271645.1_Treme1_genomic.fna,676,673,17,65
GCF_035222485.1_CBS124.78p_1.0_genomic.fna,733,732,8,17
GCF_028974085.1_ASM2897408v1_genomic.fna,733,731,15,10
GCF_038381095.1_Phycap1_genomic.fna,753,752,3,2
GCF_022478825.1_Dalcal1_genomic.fna,751,750,0,7
GCF_003184825.1_Aspfij1_genomic.fna,744,742,5,9
GCF_000527765.1_Cochliobolus_victoriae_v1.0_genomic.fna,750,746,0,8
GCF_020744255.1_Mictri1_genomic.fna,750,748,2,6
GCF_035610405.1_ASM3561040v1_genomic.fna,712,711,3,43
GCF_001890725.1_Aspwe1_genomic.fna,745,744,3,10
GCF_029851405.1_ASM2985140v1_genomic.fna,731,650,8,19
GCF_010015585.1_Erebi1_genomic.fna,742,741,0,16
GCF_000226115.1_ASM22611v1_genomic.fna,747,745,4,7
GCF_028828195.1_ASM2882819v1_genomic.fna,747,741,0,11
GCF_028828005.1_ASM2882800v1_genomic.fna,731,727,13,14
GCF_947243775.1_Skud-IFO1802_genomic.fna,734,717,1,23
