Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans	796027			CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans	796027			CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
GCA_029542845.1	ASM2954284v1	Malassezia nana	180528			CBS 9557					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei	1514897			CBS 13387					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542785.1	ASM2954278v1	Malassezia japonica	223818			CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCF_029542785.1	ASM2954278v1	Malassezia japonica	223818			CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962			CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCF_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962			CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans	2070801			16-2883					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-28		5
GCA_042764415.1	Remth1	Remersonia thermophila	72144			ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
GCF_042764415.1	Remth1	Remersonia thermophila	72144			ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100			CBS 10118					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-14		8
GCF_000512585.2	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100			CBS 10118					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-06-21		8
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709			CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709			CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
GCA_001720195.2	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531			CBS 7841					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		8
GCF_001720195.1	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531			CBS 7841					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-07-02		8
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121			CBS 10117					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		11
GCF_000512565.2	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121			CBS 10117					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-06-24		11
GCA_035658355.1	ASM3565835v1	Kwoniella shivajii	564305						CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
GCF_035658355.1	ASM3565835v1	Kwoniella shivajii	564305						CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
GCA_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534			CBS 6074					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		11
GCF_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534			CBS 6074					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-07-02		11
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737	1296096			CBS 10737					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		11
GCF_000512605.2	ASM51260v3	Kwoniella pini CBS 10737	1296096			CBS 10737					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-12-07		11
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106			CBS 12478					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		14
GCF_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106			CBS 12478					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-06-24		14
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286			ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286			ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
GCA_014133895.1	ASM1413389v1	Torulaspora globosa	48254			CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
GCF_014133895.1	ASM1413389v1	Torulaspora globosa	48254			CBS764					Annotation submitted by University College Dublin	Complete Genome	2020-08-10		8
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus	13502			CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus	13502			CBS 1945					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-12-03		4
GCA_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322			HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCF_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322			HIS019					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926			CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
GCF_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926			CBS 14171					Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	Complete Genome	2024-03-15		8
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis	1821822			CBS 14135					Annotation submitted by Duke University	Complete Genome	2023-04-03		7
GCA_029542945.1	ASM2954294v1	Malassezia obtusa	76774			CBS 7876					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi	948313			CBS 11721					Annotation submitted by Duke University	Complete Genome	2023-04-03		6
GCA_029542765.1	ASM2954276v1	Malassezia psittaci	1821823			CBS 14136					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis	253288			CBS 9725					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542885.1	ASM2954288v1	Malassezia caprae	1381934			CBS 10434					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C	559292			S288C					SGD R64-4-1	Complete Genome	2011-04-18		16
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C	559292			S288C					SGD R64-5-1	Complete Genome	2014-12-17		16
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027			Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027			Fo47					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-05-13		12
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10	332648			B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10	332648			B05.10					Annotation submitted by Syngenta Biotechnology, Inc.	Complete Genome	2015-02-05		18
GCA_001761485.1	ASM176148v1	Yarrowia lipolytica	4952			CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
GCF_001761485.1	ASM176148v1	Yarrowia lipolytica	4952			CLIB89(W29)					Annotation submitted by University of California, Irvine	Complete Genome	2016-10-12		6
GCA_016906535.1	ASM1690653v1	Rhizoctonia solani	456999			AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCF_016906535.1	ASM1690653v1	Rhizoctonia solani	456999			AG-1 IA			XN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		16
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335			DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335			DMKU3-1042					Annotation submitted by Yamaguchi University	Complete Genome	2014-01-14		8
GCA_020647865.1	ASM2064786v1	Trichoderma asperellum	101201			FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCF_020647865.1	ASM2064786v1	Trichoderma asperellum	101201			FT101					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_020647795.1	ASM2064779v1	Trichoderma atroviride	63577			P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCF_020647795.1	ASM2064779v1	Trichoderma atroviride	63577			P1					Annotation submitted by Academia Sinica	Complete Genome	2021-10-27		7
GCA_009556855.1	ASM955685v1	Talaromyces marneffei	37727						11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
GCF_009556855.1	ASM955685v1	Talaromyces marneffei	37727						11CN-20-091		Annotation submitted by Broad Institute	Complete Genome	2019-11-05		8
GCF_000002515.2	ASM251v1	Kluyveromyces lactis	28985			NRRL Y-1140					Annotation submitted by Genolevures Consortium	Complete Genome	2004-07-02		6
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum	230603			ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens	1159556			UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens	1159556			UV-8b					Annotation submitted by China Agricultural University	Complete Genome	2021-05-20		7
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729			ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729			ATCC 42464					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		7
GCA_026914185.1	ASM2691418v1	Puccinia triticina	208348			Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCF_026914185.1	ASM2691418v1	Puccinia triticina	208348			Pt15					Annotation submitted by Henan Agricultural University	Complete Genome	2022-12-15		18
GCA_016767815.1	ASM1676781v1	Penicillium digitatum	36651			PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
GCF_016767815.1	ASM1676781v1	Penicillium digitatum	36651			PdW03					Annotation submitted by Hangzhou Normal University	Complete Genome	2021-01-28		6
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201			IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201			IFO 4308					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_018416015.2	ASM1841601v2	Coccidioides posadasii str. Silveira	443226			Silveira					Annotation submitted by Northern Arizona University	Complete Genome	2022-02-01		9
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis	5007			UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis	5007			UCD 2041					Annotation submitted by Australian Wine Research Institute	Complete Genome	2020-10-30		9
GCA_003290485.1	ASM329048v1	Malassezia restricta	76775			KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
GCF_003290485.1	ASM329048v1	Malassezia restricta	76775			KCTC 27527					Annotation submitted by Korea Polar Research Institute	Complete Genome	2018-07-09		9
GCA_033473495.1	ASM3347349v1	Cercospora beticola	122368						Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
GCF_033473495.1	ASM3347349v1	Cercospora beticola	122368						Cb09-40		Annotation submitted by USDA-ARS	Complete Genome	2023-11-09		10
GCA_033870435.1	ASM3387043v1	Sordaria macrospora	5147			SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
GCF_033870435.1	ASM3387043v1	Sordaria macrospora	5147			SN1693					Annotation submitted by Ruhr-University Bochum	Complete Genome	2023-11-21		7
GCA_000836335.2	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109			CA1280					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-05-09		14
GCF_000836335.1	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109			CA1280					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-07-31		14
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096			M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096			M1					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_038181435.1	ASM3818143v1	Fusarium acuminatum	5515						1A		Annotation submitted by School of Grassland Science, Beijing Forestry University	Complete Genome	2024-04-15		11
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1	877507			Fl1					Annotation submitted by Massey University	Complete Genome	2018-11-23		7
GCA_041870755.1	OSU_Fsam_1.1	Fusarium sambucinum	5128						hop_citra		Annotation submitted by Oregon State University	Complete Genome	2024-09-09		4
GCA_004011695.2	ASM401169v2	Ascochyta rabiei	5454						Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
GCF_004011695.2	ASM401169v2	Ascochyta rabiei	5454						Me14		Annotation submitted by Curtin University	Complete Genome	2022-08-25		22
GCA_013426205.1	ASM1342620v1	Metarhizium brunneum	500148			4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
GCF_013426205.1	ASM1342620v1	Metarhizium brunneum	500148			4556					Annotation submitted by Swansea University	Complete Genome	2020-07-20		7
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811			ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811			ATCC 10895					Annotation submitted by Biozentrum, University of Basel, Switzerland	Complete Genome	2010-10-18		7
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406			CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
GCF_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406			CBS 520.97					Annotation submitted by INRAE	Complete Genome	2023-12-18		12
GCA_026184415.1	ASM2618441v1	Trichothecium roseum	47278			YXFP-22015					Annotation submitted by National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences	Complete Genome	2022-11-21	JAOAPZ01	11
GCA_026873545.1	ASM2687354v1	Fusarium falciforme	195108			Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
GCF_026873545.1	ASM2687354v1	Fusarium falciforme	195108			Fu3.1					Annotation submitted by Academia Sinica	Complete Genome	2022-12-13		14
GCA_964275055.1	MOSE0	Monosporozyma servazzii	27293								Annotation submitted by Genoscope CEA, 2 rue Gaston Cremieux CP5706 91057 Evry cedex, France, France	Complete Genome	2024-10-10		14
GCA_016952355.1	ASM1695235v1	Fusarium culmorum	5516			Class2-1B					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2020-11-16		4
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva	5499			Race5_Kim					Annotation submitted by University of California	Complete Genome	2022-01-24		14
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva	5499			Race5_Kim					Annotation submitted by University of California	Complete Genome	2022-01-24		14
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini	145971			IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini	145971			IMI 504893					Annotation submitted by University of Western Brittany	Complete Genome	2022-05-09		11
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae	2747967			CRI 24-3					Annotation submitted by Guangdong Academy of Agricultural Sciences	Complete Genome	2022-04-25		12
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207			MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207			MK2					Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University	Complete Genome	2021-01-30		8
GCA_042100115.1	ASM4210011v1	Alternaria dauci	48095			A2016					Annotation submitted by Peking University	Complete Genome	2024-09-24	JBHGVX01	10
GCF_042100115.1	ASM4210011v1	Alternaria dauci	48095			A2016					Annotation submitted by Peking University	Complete Genome	2024-09-24	JBHGVX01	10
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973			PT3					Annotation submitted by Tokyo University of Science	Complete Genome	2022-03-17		14
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973			PT3					Annotation submitted by Tokyo University of Science	Complete Genome	2022-03-17		14
GCA_004217705.1	ASM421770v1	Metschnikowia aff. pulcherrima	2163413			APC 1.2					Annotation submitted by Agroscope	Complete Genome	2019-02-20		7
GCA_007735645.1	ASM773564v1	Venturia effusa	50376			albino					Annotation submitted by Massey University	Complete Genome	2019-07-31		20
GCA_009938135.1	ASM993813v1	Malassezia furfur	55194						CBS14141		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	Complete Genome	2020-01-28		7
GCA_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122			7685027					Annotation submitted by Broad Institute	Complete Genome	2024-02-06		14
GCF_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122			7685027					Annotation submitted by Broad Institute	Complete Genome	2024-02-06		14
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii	1365886			ATCC 60483					Annotation submitted by Wolfe Lab	Complete Genome	2017-03-16		17
GCA_900080155.1	UBRO_v3	Ustilago bromivora	307758			UB2112					Annotation submitted by Institute of Bioinformatics and Systems Biology	Complete Genome	2016-11-03		23
GCA_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913			PYCC6329					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		3
GCF_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913			PYCC6329					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-07-02		3
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455			NRRL 8126					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		6
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455			NRRL 8126					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2011-09-16		6
GCA_046529785.1	ASM4652978v1	Rhynchosporium graminicola	2792576			WAI453					Annotation submitted by Research School of Biology, The Australian National University	Complete Genome	2025-01-07		20
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii	1491479			GH-Sj1					Annotation submitted by National Marine Biodiversity Institute of Korea	Complete Genome	2021-08-11		7
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627			W13939					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-06-23		6
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627			W13939					Annotation submitted by Xi'an Jiaotong University	Complete Genome	2020-06-23		6
GCA_023920165.1	ASM2392016v1	Curvularia clavata	95742			yc1106					Annotation submitted by Guizhou Academy of Tobacco Science	Complete Genome	2022-06-27		8
GCA_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232						DUCC4014		Annotation submitted by Dankook University	Complete Genome	2021-11-21		8
GCF_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232						DUCC4014		Annotation submitted by Dankook University	Complete Genome	2021-11-21		8
GCA_001592805.2	ASM159280v2	Peltaster fructicola	286661			LNHT1506					Annotation submitted by Northwest A&F University	Complete Genome	2020-04-14		5
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260			NRRL Y-6702					Annotation submitted by University College Dublin	Complete Genome	2020-07-12		8
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260			NRRL Y-6702					Annotation submitted by University College Dublin	Complete Genome	2020-07-12		8
GCA_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039						Illinois isolate		Annotation submitted by Molecular Biology, Umea University	Complete Genome	2024-02-15		12
GCF_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039						Illinois isolate		Annotation submitted by Molecular Biology, Umea University	Complete Genome	2024-05-23		12
GCA_964275045.1	MOUN0	Monosporozyma unispora	27294								Annotation submitted by Genoscope	Complete Genome	2024-10-10		15
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae	38082						2A		Annotation submitted by National Institutes Of Health	Complete Genome	2021-03-08		17
GCA_036810365.1	ASM3681036v1	Kwoniella sp. B9012	1423914			B9013					Annotation submitted by Department of Molecular Genetics and Microbiology, Duke University	Complete Genome	2024-02-22		3
GCA_036287355.1	ASM3628735v1	Kwoniella sp. CBS 6097	2770021			CBS 6097					Annotation submitted by Broad Institute	Complete Genome	2024-01-29		5
GCA_036428585.1	ASM3642858v1	Kwoniella sp. CBS 9459	2770022			CBS 9459					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		6
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis	1491008			FJ059					Annotation submitted by Hainan University	Complete Genome	2021-09-24	JAIMJC01	7
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri	63378			CBS101457					Annotation submitted by Hebei University	Complete Genome	2022-11-16		3
GCA_036427605.1	ASM3642760v1	Cryptococcus sp. DSM 104549	2770025			DSM 104549			OR918		Annotation submitted by Broad Institute	Complete Genome	2024-02-07		7
GCA_040104375.1	ASM4010437v1	Annulohypoxylon sp. FPYF3050	2857486			FPYF3050					Annotation submitted by Chinese Academy of Forestry	Complete Genome	2024-06-08		13
GCA_016906575.1	ASM1690657v1	Ceratobasidium sp. AG-Ba	170446			AG-Ba			JN		Annotation submitted by China Agricultural University	Complete Genome	2021-02-18		32
GCA_030864385.1	ASM3086438v1	Cutaneotrichosporon sp. HIS471	3040995			HIS471					Annotation submitted by Tokyo University of Agriculture	Complete Genome	2023-06-24		8
GCA_024114885.1	ASM2411488v1	Septoria linicola	215465			SE15195					Annotation submitted by INRAE	Complete Genome	2022-07-01		16
GCA_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208			19XY460					Annotation submitted by Peking Union Medical College Hospital	Complete Genome	2024-01-12		8
GCF_035610405.1	ASM3561040v1	Australozyma saopauloensis	291208			19XY460					Annotation submitted by Peking Union Medical College Hospital	Complete Genome	2024-01-12		8
GCA_963924405.1	CAAN4	[Candida] anglica	148631			29B2s-10					Annotation submitted by Genoscope CEA	Complete Genome	2024-03-09		8
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme	150365						169a		Annotation submitted by Academia Sinica	Complete Genome	2023-11-20		14
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)	566037								Annotation submitted by Duke University, Molecular Genetics and Microbiology	Complete Genome	2014-06-05		7
GCA_040256855.1	ASM4025685v1	Hanseniaspora menglaensis	3081051			CBS 16921					Annotation submitted by Conway Institute, University College Dublin	Complete Genome	2024-06-20		7
GCA_036426225.1	ASM3642622v1	Cryptococcus sp. DSM 104548	2770023			DSM 104548			OR849		Annotation submitted by Broad Institute	Complete Genome	2024-02-07		14
GCA_029542865.1	ASM2954286v1	Malassezia equina	1381935			CBS 12830					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
