GCF_028829455.1	5edf8a97126ae9a612975db4e983a216	373	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	193	308	1.53E-8	T	17-03-2025	IPR036291	NAD(P)-binding domain superfamily	-	-.1
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	Gene3D	G3DSA:3.30.70.560	-	1	130	1.4E-40	T	17-03-2025	IPR035907	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase HPPK superfamily	-	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	ProSitePatterns	PS00792	Dihydropteroate synthase signature 1.	157	172	-	T	17-03-2025	IPR000489	Pterin-binding domain	GO:0042558(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	ProSiteProfiles	PS50972	Pterin-binding domain profile.	155	455	38.989735	T	17-03-2025	IPR000489	Pterin-binding domain	GO:0042558(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	PANTHER	PTHR20941	FOLATE SYNTHESIS PROTEINS	2	322	2.4E-101	T	17-03-2025	IPR045031	Dihydropteroate synthase-like	GO:0004156(PANTHER)|GO:0005740(PANTHER)|GO:0009396(InterPro)|GO:0046654(PANTHER)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	ProSitePatterns	PS00793	Dihydropteroate synthase signature 2.	190	203	-	T	17-03-2025	IPR000489	Pterin-binding domain	GO:0042558(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	Pfam	PF01288	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	6	107	3.9E-26	T	17-03-2025	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003848(InterPro)|GO:0009396(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	NCBIfam	TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	4	107	5.3E-28	T	17-03-2025	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003848(InterPro)|GO:0009396(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	CDD	cd00483	HPPK	5	105	1.23027E-49	T	17-03-2025	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003848(InterPro)|GO:0009396(InterPro)	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	Gene3D	G3DSA:3.40.50.720	-	393	455	2.8E-8	T	17-03-2025	-	-	-	-
GCA_027627215.1	d35ff63bab9776e54fd947d863f1da22	455	NCBIfam	TIGR01496	dihydropteroate synthase	156	322	1.3E-46	T	17-03-2025	IPR006390	Dihydropteroate synthase domain	GO:0004156(InterPro)|GO:0009396(InterPro)	-
